# MoMo RefID glossary v2026-05-18 (2827 unique refids)
# Source: materials/MoMo RefID update 18 May 26.xlsx (team Product, updated mỗi đợt release)
# Format: name<TAB>refid, sorted ASC by refid
# Lookup patterns (see Rule 1.8 in guardrail):
#   Validate exists:  awk -F"	" -v r="<refid>" '$2==r{ok=1;exit} END{exit !ok}' refid-glossary.tsv
#   Get name:         awk -F"	" -v r="<refid>" '$2==r{print $1}' refid-glossary.tsv
#   Search by name:   grep -i "<keyword>" refid-glossary.tsv
name	refid
Xác thực OTP	bank_otp_adapter
Xác thực OTP	bank_otp_native
Bank OTP	bank_otp_single
PGBank	bank_pgbank
Public Bank	bank_publicbank
PVcomBank	bank_pvcom
SACOMBANK	bank_sacom
Saigonbank	bank_saigonbank
SCB	bank_scb
SHB	bank_shb
Shinhan	bank_shinhan
Timo	bank_timo
Upgrade Limit	bank_upgrade_limit
Nâng cấp Napas	bank_upgrade_napas
VIB	bank_vib
Việt Á	bank_vieta
VietBank	bank_vietbank
BVBank	bank_vietcapital
Vietcombank	bank_vietcom
VietinBank	bank_vietin
VPBank	bank_vp
Việt - Nga	bank_vrb
Thông tin chi tiết	bank_web_in_app
BankWidget	bank_widget
Woori	bank_wrb
ConfigBanner	banner_linked_service
Bảo Bảo	baobao_01
Bảo hiểm Ung Thư K-Care	baoviet_cancer_kcare
Trung tâm Nước sạch TP.HCM	baria_water
Sức khỏe & Làm đẹp	beautify_spa
BQL Bee Home	bee_home_apartment
BQL PMS	bee_home_v2
Nước Bến Tre	bentre_water
CP DV & XD Cấp nước Đồng Nai	bienhoa_water
Config bill sample	bill_sample_config
BillPay App Config	billpay_app_config
Billpay Autodebit	billpay_autodebit
Billpay config widget	billpay_config_widget
Billpay Cornerstone	billpay_cornerstone
Góp hoá đơn trồng rừng	billpay_green_hub
Nhiệm vụ	billpay_green_hub_mission
Billpay Insurance Config	billpay_insurance_config
BillPay Introduction	billpay_introduction
Góp hoá đơn trồng rừng	billpay_lookback_2025
billpay recommendation	billpay_recommendation
Giới thiệu - Nhận thưởng	billpay_referral
Search Bill	billpay_search
Utility Support	billpay_utility_support
Vip Zone	billpay_vipzone_details
Thanh toán hóa đơn	billpaycenter
Billpay Deeplink Hub	billpaycenter_deeplink_hub
Bill Pay Notifications	billpaycenter_notifications
Billpay config	billpayconfig
Billpay hub	billpayhub
Thanh toán hóa đơn	billpaymain
Bill Pay Setting	billpaysetting
Liên kết Ví	binding_wallet
TT Nước sạch và VSMT Nông thôn Bình Định	binhdinh_water
Nước Bình Dương (Biwase)	binhduong_water
Cấp nước Bình Phước	binhphuoc_water
Cấp thoát nước Bình Thuận	binhthuan_water
Nước Bàu Bàng BIWASE	biwase_baubang_water
Nước Dĩ An BIWASE	biwase_dian_water
Nước KLH Bình Dương BIWASE	biwase_klhbinhduong_water
Nước Tân Uyên BIWASE	biwase_tanuyen_water
Nước Bình Dương (Biwase)	biwase_water
Trường Đại học Bách khoa Hà Nội	bkhn_school_fee
Học phí BMC	bmc_school_fees
BNPL Config	bnpl_config
BNPL Merchant Config	bnpl_merchant_config
Vé xe khách	booking_bus
Vé xe khách futa QR	booking_bus_futa_qrcode
Vé xe khách	booking_bus_new
Chọn vé xe khách	booking_bus_select_ticket
Thông tin nhà xe Vé xe khách	booking_bus_trip_detail
	booking_experiences_kkday
booking_experiences_sontien	booking_experiences_sontien
Widget sunworld	booking_experiences_sunworld
	booking_experiences_vinwonders
Booking Futa TranHis Widget	booking_futa
Nạp tiền tài xế Gojek	booking_gojek
Hướng dẫn đặt chỗ	booking_guide_ota
booking_hotel_agoda widget history cat	booking_hotel_agoda
Đặt phòng khách sạn Expedia TranHis	booking_hotel_expedia
Mua vé Metro	booking_metro_ticket
Cinema Bundle	booking_subscription_bundle
Vé tàu hỏa	booking_train
Vé tàu hỏa	booking_train_select_ticket
Booking Train VNR TranHis Widget	booking_train_vnr
Tài khoản thu phí VETC	booking_vetc
Booking Vexere TranHis Widget	booking_vexere
Booking Platform	bookingplatform
Chat Bot Config	bot_configs
Trợ thủ AI - Moni	bot_momo_qlct
Trợ lý ăn chơi	bot_tho_dia_momo
Cập nhật dịch vụ yêu thích	bottom_add_favorite
Sim đã mua	boughtsim
Bounty config 1	bounty_cfg_1
Săn tiền thưởng	bounty_hub
Hình nền mở năm tài lộc	brand_backtowork_2025
Khai xuân Ất Tỵ	brand_chuc_tet_2025
Hiểu hơn về vàng	brand_gold_2025
Lịch Âm 2025	brand_lich_am_2025
Thông điệp Valentine	brand_valentine_2025
Gợi ý chi phí tổ chức đám cưới	brand_wedding_2025
Bundle K+	bundle_kplus
Official Account Widgets	businesspage_widget
Quản gia MoMo	butler_momo
Phát Tâm Công Đức	butta_configuration
Phát Tâm Công Đức	butta_donation_list
Phát Tâm Công Đức QR	butta_donation_qr
Xét nghiệm tại nhà	buy_package
Xét nghiệm tại nhà	buy_package_disclaimer
Mã thẻ Data MobiFone	buycard_data_mobifone
Mã thẻ Data Mobifone	buycard_data_mobifone_v2
Mã thẻ Data Viettel	buycard_data_viettel
Mã thẻ Data Vinaphone	buycard_data_vinaphone
Mã thẻ Wintel	buycard_reddi
Mua mã thẻ di động	buycardcenter
Bệnh viện Nhi Hà Nội	bv_nhi_ha_noi
Bệnh viện Nhi Hà Nội	bv_nhi_ha_noi_ticket
Nước Vũng Tàu	bwaco
Cấp nước Cái Răng	cairang_water
Chung cư Calla Garden	calla_garden_apartment
Cấp Nước Cà Mau	camau_water
Nước Cam Lâm	camlam_water
Nước Cam Ranh - Khánh Hòa	camranh_water
Nước Cần Giờ	cangio_water
Nước sạch Cần Giuộc	cangiuoc_water
Nước Cần Thơ 2	cantho2_water
Nước Cần Thơ	cantho_water
Nước Cao Bằng	caobang_water
Cao đẳng Kỹ thuật Cao Thắng	caothang_school_fees
Cao thắng bảo hiểm - dịch vụ con	caothang_school_insurance
Cao đẳng Kỹ thuật Cao Thắng	caothang_school_ttth
Cao Thắng học phí - dịch vụ con	caothang_school_tuition
Thông tin về hạn mức	capset_limit
Mã thẻ Game Online	cardgame
Phòng khám quốc tế CarePlus	care_plus_hospital
Phòng khám CarePlus	careplus
Phòng khám CarePlus	careplus_disclaimer
Nạp/Rút	cash_in_out
Heo Đất MoMo	cashback
Heo Đất Momo	cashback_badge
Heo Đất Momo	cashback_category
Heo Đất Momo	cashback_diary
Ví Nhân Ái - Heo Vàng	cashback_donation
Heo Đất Momo	cashback_friend
Ví Nhân Ái - Tiền	cashback_heart
Heo Đất Momo	cashback_history
Heo Đất Momo	cashback_invite_friend
Heo Đất Momo	cashback_level
Heo Đất Momo	cashback_mission
Nhiệm vụ heo đất	cashback_missions
Heo Đất Momo	cashback_new_level
Heo Đất Momo	cashback_profile
Heo Đất Momo	cashback_ranking
Heo Đất Momo	cashback_title
Heo Đất Momo	cashback_video
Nạp tiền bằng chuyển khoản	cashinVA
Nạp tiền chứng khoán	cashin_CVS
Rút tiền chứng khoán	cashout_CVS
Cộng đồng	cate_ins_discovery
Trang chủ	cate_ins_home
Hợp đồng đã lưu	cate_ins_management
Danh sách tính năng hiển thị theo pop up	categories_popup
Danh mục hình nền	category_change_theme
VNPT Hồ Chí Minh	cdhcm
kikanas Update	cdjasc
Nạp dế săn thưởng	cent_01
Nạp dế săn lì xì	cent_02
Đổi pin	change_complex_pin
Cập nhật Số điện thoại	change_phone
Ví Nhân Ái	charity_wallet
Chi tiết dự án	charity_wallet_detail
Quyên góp dự án	charity_wallet_donate
